"Site","Alder_FS","Ash_FS","Beech_FS","Birch_FS","Elm_FS","Hazel_FS","Oak_FS","Rowan_FS","Sycamore_FS","Willow_FS","Conifer_FS","OthDecid_FS","Alder_cent","Ash_cent","Beech_cent","Birch_cent","Elm_cent","Hazel_cent","Oak_cent","Rowan_cent","Sycamore_cent","Willow_cent","Conifer_cent","OthDecid_cent","Total_cent"
"DEL",7.09375,2.1875,9.375,1.03125,23.203125,0,13.40625,0.90625,12.8828125,0.84375,13.25,10.03125,1.30323167876683,-3.60301832123316,3.58448167876683,-4.75926832123316,17.4126066787668,-5.79051832123316,7.61573167876683,-4.88426832123316,7.09229417876683,-4.94676832123316,7.45948167876683,4.24073167876684,24.724717645202
"DLW",0,0,1.33333333333333,4.33333333333333,0,0,0,1.66666666666667,0.666666666666667,20.8971666666667,0.166666666666667,0.333333333333333,-5.79051832123316,-5.79051832123316,-4.45718498789983,-1.45718498789983,-5.79051832123316,-5.79051832123316,-5.79051832123316,-4.1238516545665,-5.1238516545665,15.1066483454335,-5.6238516545665,-5.45718498789983,-40.0890531881313
"DNC",6.77777777777778,0,0,5.66666666666667,0,0,0,0.666666666666667,1.61111111111111,9.72222222222222,18.6666666666667,0,0.987259456544614,-5.79051832123316,-5.79051832123316,-0.123851654566498,-5.79051832123316,-5.79051832123316,-5.79051832123316,-5.1238516545665,-4.17940721012205,3.93170390098906,12.8761483454335,-5.79051832123316,-26.3751087436869
"DNM",16.8125,0,0,17.90625,0,0,0,1.125,0,2.25,0,0,11.0219816787668,-5.79051832123316,-5.79051832123316,12.1157316787668,-5.79051832123316,-5.79051832123316,-5.79051832123316,-4.66551832123316,-5.79051832123316,-3.54051832123316,-5.79051832123316,-5.79051832123316,-31.392469854798
"DNS",0.75,0,0,1.5,0,0,0,2.5,0.25,19.31675,22.875,3.375,-5.04051832123316,-5.79051832123316,-5.79051832123316,-4.29051832123316,-5.79051832123316,-5.79051832123316,-5.79051832123316,-3.29051832123316,-5.54051832123316,13.5262316787668,17.0844816787668,-2.41551832123317,-18.919469854798
"DOR",30.4166666666667,5.25,0,0,2.08333333333333,1.16666666666667,0,0,6.33333333333333,1.25,7.55208333333333,1.5,24.6261483454335,-0.540518321233164,-5.79051832123316,-5.79051832123316,-3.70718498789983,-4.6238516545665,-5.79051832123316,-5.79051832123316,0.542815012100168,-4.54051832123316,1.76156501210017,-4.29051832123316,-13.9341365214646
"DOW",0,7.90625,4.625,25.8125,0.125,0,7.0703125,1.28125,10.4765625,3,7.0703125,5.5625,-5.79051832123316,2.11573167876683,-1.16551832123317,20.0219816787668,-5.66551832123316,-5.79051832123316,1.27979417876683,-4.50926832123316,4.68604417876683,-2.79051832123316,1.27979417876683,-0.228018321233166,3.44346764520201
"DUN",0,8.78125,10.96875,26.5,0,0,6.0390625,0,9.65625,1.03125,22.8515625,0.25,-5.79051832123316,2.99073167876684,5.17823167876683,20.7094816787668,-5.79051832123316,-5.79051832123316,0.248544178766835,-5.79051832123316,3.86573167876684,-4.75926832123316,17.0610441787668,-5.54051832123316,16.591905145202
"EDI",0,0.25,1.5625,0.125,8.3203125,0,2.59375,0,46.4765625,0,12.65625,0.375,-5.79051832123316,-5.54051832123316,-4.22801832123317,-5.66551832123316,2.52979417876683,-5.79051832123316,-3.19676832123317,-5.79051832123316,40.6860441787668,-5.79051832123316,6.86573167876683,-5.41551832123316,2.87315514520201
"FOF",0,9.1640625,7.3515625,0.25,2.03125,0.0625,15.6796875,0,40.71875,0,26.625,1.6875,-5.79051832123316,3.37354417876683,1.56104417876683,-5.54051832123316,-3.75926832123316,-5.72801832123316,9.88916917876683,-5.79051832123316,34.9282316787668,-5.79051832123316,20.8344816787668,-4.10301832123317,34.084092645202
"FOU",0,8.09375,0.78125,3.8125,16.8203125,0,1.875,0,35.40625,0,8.3125,0.625,-5.79051832123316,2.30323167876683,-5.00926832123316,-1.97801832123316,11.0297941787668,-5.79051832123316,-3.91551832123316,-5.79051832123316,29.6157316787668,-5.79051832123316,2.52198167876683,-5.16551832123316,6.24034264520201
"FSH",0.875,0.78125,0,43.125,0,1.9375,0,1,0,0.125,0.875,1.5,-4.91551832123316,-5.00926832123316,-5.79051832123316,37.3344816787668,-5.79051832123316,-3.85301832123316,-5.79051832123316,-4.79051832123316,-5.79051832123316,-5.66551832123316,-4.91551832123316,-4.29051832123316,-19.267469854798
"GLF",0,11.0625,36.421875,4.0625,0.125,0.75,6.5703125,0,5.0625,1.25,11.328125,0.875,-5.79051832123316,5.27198167876683,30.6313566787668,-1.72801832123316,-5.66551832123316,-5.04051832123316,0.779794178766834,-5.79051832123316,-0.728018321233166,-4.54051832123316,5.53760667876683,-4.91551832123316,8.02159264520202
"HWP",2.71875,0,0.125,18.625,0,1.875,19.921875,0,0,0.625,2.125,0,-3.07176832123316,-5.79051832123316,-5.66551832123316,12.8344816787668,-5.79051832123316,-3.91551832123316,14.1313566787668,-5.79051832123316,-5.79051832123316,-5.16551832123316,-3.66551832123316,-5.79051832123316,-23.470594854798
"INS",4.4375,0,0,19.59375,0,0.75,0,3.375,0,0.125,0,8.5625,-1.35301832123316,-5.79051832123316,-5.79051832123316,13.8032316787668,-5.79051832123316,-5.04051832123316,-5.79051832123316,-2.41551832123316,-5.79051832123316,-5.66551832123316,-5.79051832123316,2.77198167876684,-32.642469854798
"KCK",0,2.40625,40.2890625,1.6875,0.75,0.5625,10.7265625,0,7.3203125,0,14.109375,0,-5.79051832123316,-3.38426832123316,34.4985441787668,-4.10301832123317,-5.04051832123316,-5.22801832123316,4.93604417876683,-5.79051832123316,1.52979417876683,-5.79051832123316,8.31885667876683,-5.79051832123316,8.36534264520201
"KCZ",0.125,0.78125,6.9140625,5.15625,0,0.3125,49.1796875,0.125,0,0,0,0,-5.66551832123316,-5.00926832123316,1.12354417876683,-0.634268321233166,-5.79051832123316,-5.47801832123316,43.3891691787668,-5.66551832123316,-5.79051832123316,-5.79051832123316,-5.79051832123316,-5.79051832123316,-6.89246985479799
